	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
TCGA.CG.5722	3.168775586	3.415984362	2.872824776	2.395276289	0	3.235196343	3.501332801	2.976788014	3.582389697
TCGA.CG.5723	3.437195153	3.317831481	2.651641415	3.080970356	2.075318187	3.405810144	3.477502239	3.408067746	3.64116172
TCGA.CG.5724	3.126174038	3.334102874	2.889200239	2.912591925	1.031772062	3.395655405	3.540106749	2.795818273	3.845584598
TCGA.CG.5725	3.328724415	3.346007457	2.360544518	2.762242787	0	3.302042113	3.598649616	3.616463266	3.735789468
TCGA.CG.5726	3.078187352	3.293259017	2.076126092	2.55183461	1.622679005	3.367885788	3.501722231	2.418895887	3.558519698
TCGA.CG.5732	3.606485573	3.378077981	3.202922718	3.394129139	1.595204359	3.318354386	3.535065662	3.365038151	3.573949396
TCGA.CG.5734	3.290907585	3.360234002	2.537227661	2.842852645	1.349584553	3.304308072	3.471289719	2.750003584	3.619830154
TCGA.D7.5577	2.873342038	3.42241188	2.068188672	2.797133452	0	3.364664978	3.522482199	2.731350186	3.624779093
TCGA.D7.5578	3.275830927	3.441816995	2.753965831	2.888600579	1.346756612	3.298834723	3.528678218	2.930607062	3.655006035
TCGA.D7.6518	3.685724498	3.558884585	3.322689896	3.123583225	2.038020769	3.3669948	3.610848492	3.245741345	3.769013349
TCGA.D7.6519	3.341619902	3.512780429	3.003622805	3.258090812	0.892188702	3.425577386	3.4574905	3.464387641	3.63624926
TCGA.D7.6520	3.862552721	3.512770594	3.604659488	3.427396226	1.211834296	3.32825018	3.525360267	3.437179464	3.827213379
TCGA.D7.6521	3.337042885	3.5920248	3.623789502	3.206189439	0.897924593	3.379640327	3.563024809	3.299760442	3.742497778
TCGA.D7.6522	3.721348765	3.488352326	3.099267701	3.129163552	0.694759472	3.301104949	3.465674045	3.216927645	3.804251581
TCGA.D7.6524	3.210541599	3.448115985	2.870577349	3.023041047	1.033447729	3.324237948	3.586517352	3.184901194	3.683058777
TCGA.D7.6525	2.96245919	3.504014688	2.916821834	2.73134516	0.552630483	3.392524718	3.624499477	2.769192002	3.777462302
TCGA.D7.6526	3.752313508	3.419746733	2.614701592	2.848261809	1.286469555	3.263722069	3.598905205	2.819750762	3.790749909
TCGA.D7.6527	3.339923196	3.424768427	2.823961533	3.270249987	1.70054358	3.239604276	3.5175215	3.249441829	3.669347636
TCGA.D7.6528	2.063460576	3.408303358	2.390846816	2.482903192	0	3.23622433	3.551520921	2.465403887	3.510302323
TCGA.D7.6815	3.673042683	3.439903275	3.238295407	3.191426563	0	3.334130961	3.58218207	2.867421805	3.621967723
TCGA.D7.6817	3.081702695	3.342756203	2.868600167	3.077817312	2.051318442	3.059389953	3.552594863	2.925941084	3.595029096
TCGA.D7.6818	3.617850332	3.4386262	2.710403061	3.061609806	0.638581064	3.358567567	3.584731715	3.494539181	3.784597849
TCGA.D7.6820	2.518642901	3.319319114	2.106123331	3.319013486	0.540410703	3.035344948	3.55693833	3.135828144	3.583039593
TCGA.D7.6822	3.03193314	3.383590039	2.553461049	2.541111614	0.499809932	3.345997104	3.576013955	3.407839071	3.578528095
TCGA.D7.8570	3.084795238	3.418529454	2.656027543	3.052758756	0.580124981	3.3505871	3.560627814	3.027883806	3.643119195
TCGA.D7.8572	3.531201789	3.426672705	3.181246328	3.292592012	1.627024135	3.328788818	3.565966232	3.082547737	3.657084376
TCGA.D7.8573	2.604845719	3.266888516	2.294328023	2.270170183	0.899886217	3.362681351	3.557604516	3.394423905	3.276969251
TCGA.D7.8574	3.489554637	3.493349279	3.130770447	2.911535502	1.347261725	3.262842074	3.579423329	3.163241393	3.641733551
TCGA.D7.8575	3.651525625	3.423792995	2.758226589	3.282620572	1.260294735	3.43737349	3.714701989	2.882448363	3.681318723
TCGA.D7.8576	2.935628022	3.361361771	2.789461177	3.086836634	0	3.30377075	3.548494308	2.970610413	3.618181872
TCGA.D7.8578	3.35922822	3.490867699	3.319043349	3.243702416	1.355388161	3.397661988	3.592203427	3.445668742	3.756550998
TCGA.D7.8579	3.590745908	3.446754606	3.264168806	2.909168992	0	3.272343285	3.743512747	3.254227639	3.613755183
TCGA.D7.A4YT	3.189970936	3.351639974	2.563312385	3.01852793	1.306206015	3.331752554	3.70752852	3.356322403	3.660627945
TCGA.D7.A4YU	3.208874801	3.490781289	2.918057942	2.639063705	1.8817254	3.26208856	3.629348413	3.1037181	3.602030956
TCGA.D7.A4YV	3.361066988	3.42078895	2.97160712	2.643701884	1.448331068	3.071637022	3.659328827	3.02795107	3.617239802
TCGA.D7.A4YX	2.53879113	3.3192815	2.161684931	2.493699647	0.742917192	3.332415333	3.631701813	2.609025534	3.556967766
TCGA.D7.A4YY	3.611651062	3.355553078	2.712626196	3.106944901	1.242535643	3.362339609	3.560681476	2.900851603	3.580317596
TCGA.D7.A4Z0	3.356261745	3.364903619	3.050426919	2.855771161	1.572483313	3.300299834	3.599274068	3.144388661	3.556760313
