Symbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
GSM2235759	9.027648616	11.09193305	5.963343779	10.27131711	5.674268719	8.52340015	10.31751911	8.619056764	8.83574091
GSM2235760	11.63416283	10.61633242	5.802810121	8.807929978	5.686772383	7.991512233	9.572226612	7.854396093	8.82451549
GSM2235761	11.66962486	10.74245984	5.924746628	9.049334619	5.798585206	8.050242769	10.69134904	8.259426918	9.017747665
GSM2235762	12.37423703	9.636402514	6.158865978	8.530642858	5.864781888	8.507692859	10.30198168	7.143109769	8.438490159
GSM2235763	9.981393737	10.06732198	5.988623157	7.174120444	5.7823688	8.330751562	10.02309711	6.617274997	8.23164484
GSM2235764	5.883412681	10.04028735	5.796222106	7.72058969	5.813832787	7.987045144	9.838818575	6.300254241	11.03664324
GSM2235765	11.51808541	10.17906439	5.896026431	9.459700509	5.973372775	8.718724481	10.45240139	8.590055331	9.208728824
GSM2235766	9.021208466	9.937038872	5.91371742	10.58976671	5.990423765	8.574543492	9.55413981	10.31894142	9.005473532
GSM2235767	12.47631483	11.31621587	6.240215195	9.701198479	5.995869764	8.569098048	11.91617379	9.45449435	8.856507177
GSM2235768	9.743892427	9.83535991	5.951021456	9.592267254	5.983254592	9.158188611	10.32746609	8.019770178	8.424186251
GSM2235769	10.27480578	9.407304523	5.801735115	10.83769629	6.015340077	8.964118166	9.286759818	10.32746609	8.792016628
GSM2235770	8.242267263	9.481791481	5.756788715	7.756607882	5.696426639	6.600574482	9.730203831	7.008637547	9.608128907
GSM2235771	9.411498842	9.745235154	5.719256354	8.501271486	5.969019133	7.583105677	10.04723753	8.317938407	8.8801311
GSM2235772	10.12872159	9.859284964	5.770066677	8.795772014	5.894293834	8.103184503	10.05859962	8.02632845	8.600050296
GSM2235773	11.25951868	9.75336422	5.709569331	9.10936381	5.977562276	8.234243138	10.0893988	8.002071885	9.26245566
GSM2235774	11.76231579	9.32111432	5.853450489	8.78500415	6.138150513	8.615893891	10.03488724	7.791483556	10.03801821
GSM2235775	11.74929995	9.465001752	5.82784872	9.183425376	6.20265275	8.048322378	10.0208786	7.900657976	9.315283485
GSM2235776	12.24271095	9.883563448	5.815756756	8.770015706	6.439433219	8.05329349	10.24140581	7.942831227	9.291777933
GSM2235777	11.33530993	9.636816691	5.890228785	8.673712499	5.865972017	8.178038632	10.17194273	7.503725472	9.428069936
GSM2235778	9.344147052	9.502972033	5.919710087	8.549755314	5.857542202	8.367546238	10.07512378	7.410677096	8.844722794
GSM2235779	7.333723448	8.07700291	5.74059852	7.588461779	5.876779686	8.777977288	9.555241284	6.779496369	9.236467123
GSM2235780	9.480682638	9.661201669	5.95228602	8.108270588	5.653292896	8.829880131	10.74189165	7.372505182	8.529728199
GSM2235781	12.41422774	8.9168267	5.826721439	9.56242777	5.818925841	9.186908544	10.01370082	11.00839631	9.445345595
GSM2235782	8.915161812	9.948979077	5.774396387	11.53042879	6.139119884	9.272959816	10.06077296	8.988784759	9.589654984
GSM2235783	12.85788299	10.01689644	5.858510351	8.205701967	5.583637956	7.879734005	9.79435036	7.72296294	9.619078242
GSM2235784	7.120567016	10.17859499	5.950122843	8.62370681	5.902559915	7.963492894	9.186577403	6.978783408	8.782751815
GSM2235785	11.29107791	8.723449416	5.836767053	8.051069758	5.958179429	8.340955148	9.788560958	6.928216417	8.710971758
GSM2235786	11.48389356	10.85111635	6.187982038	8.580702293	6.088747251	8.104616503	10.77567659	8.773815121	9.576950514
